id;ident;type;name;latitude_deg;longitude_deg;elevation_ft;continent;iso_country;iso_region;municipality;scheduled_service;gps_code;iata_code;local_code;home_link;wikipedia_link
6441;UBBG;medium_airport;Ganja International Airport;40.737701;46.3176;1083;AS;AZ;AZ-GA;Ganja;yes;UBBG;GNJ;;;https://en.wikipedia.org/wiki/Ganja_International_Airport
6442;UBBN;medium_airport;Nakhchivan Airport;39.18880081176758;45.45840072631836;2863;AS;AZ;AZ-NX;Nakhchivan;yes;UBBN;NAJ;;;https://en.wikipedia.org/wiki/Nakhichevan_Airport
300740;UBBQ;medium_airport;Gabala International Airport;40.808617;47.725389;935;AS;AZ;AZ-QAB;Gabala;yes;UBBQ;GBB;;;https://en.wikipedia.org/wiki/Gabala_Airport
43883;UBBY;medium_airport;Zaqatala International Airport;41.557823;46.669464;1279;AS;AZ;AZ-ZAQ;Zaqatala;no;UBBY;ZTU;;;https://en.wikipedia.org/wiki/Zaqatala_International_Airport
6444;UDSG;medium_airport;Shirak International Airport;40.750401;43.859299;5000;AS;AM;AM-SH;Gyumri;yes;UDSG;LWN;;http://www.aviation.am/eng/gorc/aeroport.htm;https://en.wikipedia.org/wiki/Shirak_Airport
6445;UDYE;medium_airport;Erebuni Airport;40.122100830099996;44.465000152600005;2948;AS;AM;AM-ER;Yerevan;no;UDYE;;;;https://en.wikipedia.org/wiki/Erebuni_Airport
6446;UDYZ;large_airport;Zvartnots International Airport;40.1473007202;44.3959007263;2838;AS;AM;AM-ER;Yerevan;yes;UDYZ;EVN;;http://www.aia-zvartnots.aero/;https://en.wikipedia.org/wiki/Zvartnots_International_Airport
6447;UEEE;medium_airport;Yakutsk Airport;62.093299865722656;129.77099609375;325;AS;RU;RU-SA;Yakutsk;yes;UEEE;YKS;;;https://en.wikipedia.org/wiki/Yakutsk_Airport
5751;UELL;medium_airport;Chulman Airport;56.913898468018;124.91400146484;2812;AS;RU;RU-SA;Neryungri;yes;UELL;NER;;;https://en.wikipedia.org/wiki/Chulman_Airport
32509;UEMA;medium_airport;Moma Airport;66.450861;143.261551;656;AS;RU;RU-SA;Khonuu;yes;UEMA;MQJ;;;https://en.wikipedia.org/wiki/Moma_Airport
42979;UEMM;medium_airport;Magan Airport;62.103484;129.545288;577;AS;RU;RU-SA;Magan;no;UEMM;GYG;;;https://en.wikipedia.org/wiki/Magan_Airport
32510;UEMO;medium_airport;Olyokminsk Airport;60.401833;120.476094;656;AS;RU;RU-SA;Olyokminsk;yes;UEMO;OLZ;;;https://en.wikipedia.org/wiki/Olyokminsk_Airport
44662;UEMT;medium_airport;Ust-Nera Airport;64.550003051758;143.11500549316;1805;EU;RU;RU-SA;Ust-Nera;yes;UEMT;USR;;;https://en.wikipedia.org/wiki/Ust-Nera_Airport
42978;UENK;medium_airport;Kyzyl-Syr Airport;63.8849983215332;122.7770004272461;331;AS;RU;RU-SA;Kyzyl-Syr;no;UENK;;;;https://en.wikipedia.org/wiki/Kyzyl-Syr_Airport
43006;UENW;medium_airport;Vilyuisk Airport;63.756668;121.693336;361;AS;RU;RU-SA;Vilyuisk;yes;UENW;VYI;;;https://en.wikipedia.org/wiki/Vilyuisk_Airport
43663;UERA;medium_airport;Aykhal Airport;65.959198;111.546501;;AS;RU;RU-SA;;no;UERA;;;;https://en.wikipedia.org/wiki/Aykhal_Airport
