@ident;@phi;@lambda;@alt;@theta;@length;@width;@number;@designator;Vasi.PRIMARY.@biasZ;Vasi.PRIMARY.@pitch;Vasi.SECONDARY.@biasZ;Vasi.SECONDARY.@pitch;OffsetThreshold.PRIMARY.@length;OffsetThreshold.SECONDARY.@length;RunwayDeformation.0;RunwayDeformation.
AYGV;-0.06807998250168068;2.4640604648126754;81.052;4.3861118940291135;1468.553;25.0;25;;;;;;;;79.897;82.209
AYGW;-0.11284746425270235;2.5321946220966676;1454.165;6.073390447904561;504.339;25.0;34;;;;;;;;1478.111;1430.222
AYGX;-0.1571147801640949;2.587223522301718;750.404;4.738612028797129;417.65;41.946;27;;;;;;;;754.315;746.494
AYGY;-0.11990335221590055;2.4915201861745766;74.581;5.816721979040424;777.374;44.508;33;;;;;;;;71.939;77.224
AYGZ;-0.15025281662148435;2.4769559901535434;24.68;6.157912903854292;692.689;37.78;35;;;;;;;;25.049;24.311
AYHA;-0.11706489908007701;2.5306827528279108;741.769;3.7437748787591367;622.0;15.0;21;;;;;;;;748.792;734.746
AYHB;-0.11030794379719627;2.4869049644158747;289.909;0.3143402909089962;700.382;33.017;1;;;;;;;;287.045;292.773
AYHE;-0.129518363736867;2.555651058381867;1025.588;3.1559225048803676;479.832;25.0;18;;;;;;;;1035.878;1015.299
AYHF;-0.06454593522585489;2.49683142144313;131.661;6.14221995041791;1105.911;48.369;35;;;;;;;;127.131;136.193
AYHG;-0.15946186252378186;2.5760773270922335;976.846;5.38815917374002;388.707;34.253;30;;;;;;;;1000.783;952.91
AYHH;-0.10901185104401642;2.481449934052917;127.066;3.8896519411017754;529.021;14.589;22;;;;;;;;132.907;121.226
AYHJ;-0.09060858152540058;2.495113495286515;1487.317;3.438835315173818;595.167;27.73;19;;;;;;;;1523.349;1451.285
AYHL;-0.11519333531621968;2.484480031407682;75.124;0.0872314862015065;618.81;28.772;36;;;;;;;;82.77;67.479
AYHN;-0.11633611425469234;2.54818776528861;1842.838;0.004181030296399099;598.026;25.0;36;;;;;;;;1870.149;1815.529
AYHO;-0.12115848326286092;2.4968100355313685;50.537;4.192025696153738;1030.949;19.665;24;;;;;;;;41.064;60.012
AYHQ;-0.07504237829626907;2.482385335576145;25.265;3.6145550642646063;450.636;25.0;20;;;;;;;;24.482;26.048
AYHT;-0.07990343856179812;2.4707115457883235;55.944;4.518441536184848;571.795;25.0;26;;;;;;;;56.453;55.436
